Year,Strata,Strata Name,County,Total Admits (ICD-9),30-day Readmits (ICD-9),30-day Readmission Rate (ICD-9),Total Admits (ICD-10),30-day Readmits (ICD-10),30-day Readmission Rate (ICD-10)
2022,Overall,Overall,Mendocino,,,,4607,598,12.98%
2022,Overall,Overall,Merced,,,,11712,1709,14.59%
2022,Overall,Overall,Modoc,,,,307,38,12.38%
2022,Overall,Overall,Mono,,,,229,23,10.04%
2022,Overall,Overall,Monterey,,,,18704,2429,12.99%
2022,Overall,Overall,Napa,,,,5108,688,13.47%
2022,Overall,Overall,Nevada,,,,4818,673,13.97%
2022,Overall,Overall,Orange,,,,108666,14826,13.64%
2022,Overall,Overall,Placer,,,,18518,2309,12.47%
2022,Overall,Overall,Plumas,,,,634,94,14.83%
2022,Overall,Overall,Riverside,,,,103546,14693,14.19%
2022,Overall,Overall,Sacramento,,,,70577,10399,14.73%
2022,Overall,Overall,San Benito,,,,2514,368,14.64%
2022,Overall,Overall,San Bernardino,,,,91005,13303,14.62%
2022,Overall,Overall,San Diego,,,,144735,20302,14.03%
2022,Overall,Overall,San Francisco,,,,31810,4910,15.44%
2022,Overall,Overall,San Joaquin,,,,32288,4998,15.48%
2022,Overall,Overall,San Luis Obispo,,,,11343,1419,12.51%
2022,Overall,Overall,San Mateo,,,,22807,3049,13.37%
2022,Overall,Overall,Santa Barbara,,,,17333,2136,12.32%
2022,Overall,Overall,Santa Clara,,,,58551,8629,14.74%
2022,Overall,Overall,Santa Cruz,,,,9591,1216,12.68%
2022,Overall,Overall,Shasta,,,,12200,1529,12.53%
2022,Overall,Overall,Sierra,,,,73,10,13.70%
2022,Overall,Overall,Siskiyou,,,,1667,195,11.70%
2022,Overall,Overall,Solano,,,,17339,2481,14.31%
2022,Overall,Overall,Sonoma,,,,21315,3062,14.37%
2022,Overall,Overall,Stanislaus,,,,27600,3821,13.84%
2022,Overall,Overall,Sutter,,,,4755,691,14.53%
2022,Overall,Overall,Tehama,,,,3291,441,13.40%
2022,Overall,Overall,Trinity,,,,675,91,13.48%
2022,Overall,Overall,Tulare,,,,18119,2204,12.16%
2022,Overall,Overall,Tuolumne,,,,3236,472,14.59%
2022,Overall,Overall,Ventura,,,,34253,4771,13.93%
2022,Overall,Overall,Yolo,,,,7045,1005,14.27%
2022,Overall,Overall,Yuba,,,,4237,631,14.89%
2023,Overall,Overall,State,,,,1697727,253967,14.96%
2023,Age,18 to 44 years,State,,,,256769,32576,12.69%
2023,Age,45 to 64 years,State,,,,483957,74549,15.40%
2023,Age,65 years and above,State,,,,957001,146842,15.34%
2023,Sex,Female,State,,,,842642,120100,14.25%
2023,Sex,Male,State,,,,855085,133867,15.66%
2023,Race-Ethnicity,African-American,State,,,,158576,28695,18.10%
2023,Race-Ethnicity,Asian/Pacific Islander,State,,,,156928,23294,14.84%
2023,Race-Ethnicity,Hispanic,State,,,,453645,66194,14.59%
2023,Race-Ethnicity,Multiracial,State,,,,18189,3094,17.01%
2023,Race-Ethnicity,Native American,State,,,,5839,936,16.03%
2023,Race-Ethnicity,Other/Unknown,State,,,,74463,9887,13.28%
2023,Race-Ethnicity,White,State,,,,830087,121867,14.68%
2023,Expected Payer,Medi-Cal,State,,,,367860,58075,15.79%
2023,Expected Payer,MediCare,State,,,,960461,152755,15.90%
2023,Expected Payer,Other,State,,,,43008,5269,12.25%
2023,Expected Payer,Private,State,,,,311800,36703,11.77%
2023,Expected Payer,Self-Pay,State,,,,14598,1165,7.98%
2023,Overall,Overall,Alameda,,,,59116,9822,16.61%
2023,Overall,Overall,Alpine,,,,12,2,16.67%
2023,Overall,Overall,Amador,,,,2689,428,15.92%
2023,Overall,Overall,Butte,,,,17814,3210,18.02%
2023,Overall,Overall,Calaveras,,,,2798,432,15.44%
2023,Overall,Overall,Colusa,,,,1100,163,14.82%
2023,Overall,Overall,Contra Costa,,,,47571,7295,15.33%
2023,Overall,Overall,Del Norte,,,,1436,188,13.09%
2023,Overall,Overall,El Dorado,,,,9103,1285,14.12%
2023,Overall,Overall,Fresno,,,,47350,7387,15.60%
2023,Overall,Overall,Glenn,,,,1715,272,15.86%
2023,Overall,Overall,Humboldt,,,,6247,759,12.15%
2023,Overall,Overall,Imperial,,,,7031,966,13.74%
2023,Overall,Overall,Inyo,,,,571,51,8.93%
2023,Overall,Overall,Kern,,,,34907,4826,13.83%
2023,Overall,Overall,Kings,,,,5025,720,14.33%
2023,Overall,Overall,Lake,,,,4400,689,15.66%
2023,Overall,Overall,Lassen,,,,603,54,8.96%
2023,Overall,Overall,Los Angeles,,,,412254,63767,15.47%
2023,Overall,Overall,Madera,,,,6389,892,13.96%
2023,Overall,Overall,Marin,,,,10677,1548,14.50%
2023,Overall,Overall,Mariposa,,,,962,136,14.14%
2023,Overall,Overall,Mendocino,,,,4872,727,14.92%
2023,Overall,Overall,Merced,,,,11073,1659,14.98%
2023,Overall,Overall,Modoc,,,,298,24,8.05%
2023,Overall,Overall,Mono,,,,236,23,9.75%
2023,Overall,Overall,Monterey,,,,20354,2966,14.57%
2023,Overall,Overall,Napa,,,,5535,820,14.81%
2023,Overall,Overall,Nevada,,,,5083,697,13.71%
2023,Overall,Overall,Orange,,,,119021,16839,14.15%
2023,Overall,Overall,Placer,,,,20880,2947,14.11%
2023,Overall,Overall,Plumas,,,,590,78,13.22%
2023,Overall,Overall,Riverside,,,,110387,16420,14.87%
2023,Overall,Overall,Sacramento,,,,75117,11269,15.00%
2023,Overall,Overall,San Benito,,,,2282,312,13.67%
2023,Overall,Overall,San Bernardino,,,,98339,14784,15.03%
2023,Overall,Overall,San Diego,,,,149232,21652,14.51%
2023,Overall,Overall,San Francisco,,,,36004,6123,17.01%
2023,Overall,Overall,San Joaquin,,,,33680,5196,15.43%
2023,Overall,Overall,San Luis Obispo,,,,11587,1447,12.49%
2023,Overall,Overall,San Mateo,,,,24112,3396,14.08%
2023,Overall,Overall,Santa Barbara,,,,17646,2231,12.64%
2023,Overall,Overall,Santa Clara,,,,62896,9727,15.47%
2023,Overall,Overall,Santa Cruz,,,,9996,1266,12.67%
2023,Overall,Overall,Shasta,,,,12862,1669,12.98%
2023,Overall,Overall,Sierra,,,,87,10,11.49%
2023,Overall,Overall,Siskiyou,,,,1787,318,17.80%
2023,Overall,Overall,Solano,,,,18270,2790,15.27%
2023,Overall,Overall,Sonoma,,,,22465,3330,14.82%
2023,Overall,Overall,Stanislaus,,,,29234,4365,14.93%
2023,Overall,Overall,Sutter,,,,5209,746,14.32%
2023,Overall,Overall,Tehama,,,,3247,467,14.38%
2023,Overall,Overall,Trinity,,,,650,82,12.62%
2023,Overall,Overall,Tulare,,,,17918,2483,13.86%
2023,Overall,Overall,Tuolumne,,,,3251,485,14.92%
2023,Overall,Overall,Ventura,,,,35807,5244,14.65%
2023,Overall,Overall,Yolo,,,,7760,1195,15.40%
2023,Overall,Overall,Yuba,,,,4671,740,15.84%
